Wembo Nyama,43.4468540798958
Kole,20.5819574112416
Pania Mutombo,16.8350397340143
Minga,20.8144006971153
Lusambo,21.6391896960391
Dikungu,41.2152035220645
Vanga Kete,49.3340036787013
Lodja,148.366458561981
Omendjadi,35.7810338563457
Djalo Djeka,24.2480910125377
Katako Kombe,16.5288880946916
Bena Dibele,17.707997664717
Kamiji,65.7222283765157
Tshitenge,773.769300232449
Miabi,384.973486123199
Ngandajika,262.78905496037
Mulumba,280.202580244729
Tshilenge,485.879204423372
Cilundu,169.88551324952
Lubao,22.0380725787789
Kalonda Est,32.2473092160576
Kabinda,65.1699212672031
Ludimbi Lukula,25.3036317967583
Kalambayi Kabanga,40.5901362791607
Makota,1781.73918570802
Mwene Ditu,798.751593573924
Wikong,151.88900689475
Luputa,98.456611547014
Kanda Kanda,74.9181584567794
Bonzola,12538.3702245965
Dibindi,31689.2997331455
Kansele,33482.4946581875
Muya,16945.0929882383
Diulu,22655.1929366097
Bipemba,12095.9580534895
Mpokolo,3959.77055382593
Nzaba,9642.02890760771
Kabeya Kamuanga,101.202887531475
Mukumbi,125.080098072469
Lukelenge,11225.8931710483
Tshishimbi,288.526835746077
Lubilanji,34711.4753386882
Kamana,17.3410424467274
Kasansa,232.664024469909
Bibanga,106.680328466436
Kalenda,54.7947756761327
Tshofa,27.2052171569896
Pimu,41.2896896855932
Nyanga,63.490183985889
Kalonda Ouest,91.1324866516603
Kamonia,48.1852844939133
Mutena,53.9967020208489
Banga Lubaka,23.8585720893678
Kamwesha,84.8465266225783
Mweka,88.2145461529153
Moba,34.3436699823005
Bogosenubia,31.2912627346478
Moanda,396.037929404639
Kitona,239.587010374757
Boma,2992.70818315365
Boma Bungu,31.9769604557437
Seke-Banza,160.729066087658
Inga,116.515499311356
Lukula,163.300517608531
Tshela,123.048553759888
Vaku,273.405204240092
Kizu,421.234861390927
Kibunzi,37.8555509254019
Luozi,77.099308368939
Kimpangu,102.951673876818
Ngidinga,47.2528353540668
Boko-Kivulu,264.568657262781
Mbanza-Ngungu,477.888711199916
Kwilu-Ngongo,159.024365477514
Kisantu,250.857808742084
Mikope,19.7326606319162
Oshwe,11.9337428557524
Bosobe,14.0312541344365
Bokoro,43.8193206214744
Masi-Manimba,105.001840011704
Yasa-Bonga,142.303908804049
Idiofa,113.218606957041
Ipamu,135.956006738782
Koshibanda,71.4483575433726
Kingandu,45.3564895756486
Bulungu,145.80084300052
Bagata,45.4995016357847
Bandundu,823.762771110969
Kajiji,13.7453680402812
Kikwit-Nord,4574.9446322049
Lusanga,109.028973255294
Feshi,22.5942513173799
Wamba Lwadi,57.6416769884361
Panzi,28.6307416861725
Tembo,20.6388329407753
Moanza,63.1574496547001
Kimbau,46.6380322527852
Kenge,87.7101515506599
Boko,37.7611594119263
Viadana,35.6947430607059
Poko,14.7907192836333
Basali,5.84688140491253
Basoko,100.384956770789
Bengamisa,30.1803898448091
Yakusu,44.4179366721461
Yahisuli,42.0776800556191
Yabaondo,52.6248582387497
Isangi,98.4510404073782
Yaleko,21.7740353714685
Banalia,11.1812737496794
Bafwasende,8.94360414028581
Bafwagbogbo,6.26222119245588
Buta,25.5031124949194
Titule,9.64058497646884
Ganga,24.8602175501692
Vanga,201.482868376272
Djuma,131.653346534747
Sia,70.3100998416191
Mungindu,80.5212108643228
Kimputu,93.2110799605845
Mosango,95.67111175967
Pay Kongila,104.459097321234
Matadi,8772.1744094864
Nzanza,119.292097730849
Ndjili,28832.0985843277
Mont Ngafula I,2093.68434228816
Biyela,3613.0663500485
Kikimi,1543.31766863644
Lemba,25224.3696964342
Matete,30106.0622320154
Kisenso,25155.0030787231
Lingwala,30060.6269920816
Barumbu,27678.284134678
Kinshasa,32002.5494513358
Limete,22249.8782800825
Kalamu II,28727.7964897196
Kalamu I,29914.5783044959
Bumbu,33316.2971994496
Makala,30397.8971169733
Ngaba,34842.879532252
Bandalungwa,30886.6619326638
Selembao,23827.1555464936
Masina I,8756.61743754534
Kintambo,32030.4934976083
Kasa-Vubu,26913.8932603642
Ngiri-Ngiri,33249.8396568471
Binza Meteo,20965.7159236716
Binza Ozone,20707.3759998732
Kikongo,41.7628242187554
Mont Ngafula II,4391.53214202167
Sona-Bata,48.2337497775617
Nsele,1023.31655857464
Kanzala,1194.73540764257
Tshikapa,178.187161195977
Kingasani,30978.6938892984
Kimbanseke,15172.9888994788
Bwamanda,116.931617792973
Kungu,93.2802382127911
Loko,25.6963749048897
Bangabola,66.8494516930578
Boso Mondanda,36.0540655788946
Budjala,47.1541227573821
Binga,37.6158037656136
Yamaluka,157.185962964174
Boso Manzi,31.160215499115
Karawa,93.0068214964282
Bominenge,85.8937974608013
Gemena,309.97572177206
Mbaya,48.8280806740489
Bulu,97.9543296858162
Tandala,173.330713734581
Kibombo,12.0265877607998
Kindu,1565.91161846809
Alunguli,1103.4662466413
Kokolo,25379.182550102
Police,25149.9097738428
Makiso-Kisangani,2279.91967786528
Mangobo,42.0368269619119
Kabondo,18.5933012781816
Tshopo,56.3280713150705
Kaniama,20.8995339692695
Kalemie,23.370590461321
Kansimba,3.86876297706744
Butumba,17.7187238846292
Kinkondja,25.2995869381203
Baka,29.0258312098022
Kiyambi,7.19937471898924
Manono,36.6634688347074
Samba,21.4541455851988
Kasongo,92.3682685132213
Kunda,40.5927640376067
Saramabila,58.916190810516
Kampene,37.9056493945053
Nyemba,33.4216975395569
Nyunzu,16.2390282967162
Kabambare,10.124654885015
Pangi,17.0781499721279
Kalima,52.6690052922608
Yalimbongo,18.396288431354
Aketi,11.8291894063456
Lolo,67.2391224929238
Yamongili,28.3830108678259
Abuzi,6.21874085863355
Yambuku,50.0488315529107
Wasolo,32.3336914552171
Bosondjo,28.194345380595
Bumba,79.0668558262269
Mondombe,31.0637982645446
Djolu,34.1387571947436
Opienge,2.33761327629335
Obokote,5.59972189090845
Lowa,6.1213630362781
Wanierukula,9.0637987100649
Lubutu,17.1893845538326
Kitenda,23.0555162166335
Kasongo Lunda,58.3940673530338
Popokabaka,46.3707776723356
Kimvula,41.9251822166014
Maluku I,36.1671233961084
Kimpese,102.184737289676
Nsona-Mpangu,84.8567562416119
Kangu,215.284948827655
Kuimba,232.865242392384
Kinkonzi,105.933327331334
Mangembo,60.322681202
Gombe-Matadi,63.9646232882045
Masa,300.465362756651
Bokonzi,25.4859997327433
Mawuya,43.8272783234158
Zongo,147.888102372224
Libenge,33.3454326304959
Bili (Nord-Ubangi),38.0928157202429
Gbadolite,145.489750905832
Mobayi Mbongo,20.3369873720379
Yakoma,90.3448364611452
Monga,16.7966570442842
Bondo,30.8013243489836
Bili (Bas-Uele),3.90749272252173
Ango,4.69636636800321
Opala,11.1905925064331
Kahemba,18.5590973932743
Gungu,67.4474818657633
Kitangwa,18.9058085122188
Mukedi,75.5325712730725
Kongolo,74.0754201688871
Mbulula,34.0338962185948
Kabalo,20.2542220666807
Bukama,51.4567411762463
Kabondo Dianda,42.9976528737436
Kabongo,44.3035324252103
Songa,16.7374852009202
Kayamba,26.6482776352878
Kitenge,21.5716490681767
Ankoro,29.0471212750253
Mulongo,69.607726990323
Lwamba,175.948362261505
Mukanga,36.2232306179789
Malemba,65.163323495298
Kinda,5.12365493135667
Kamina,315.615886582554
Kikwit-Sud,5002.98091073671
Kenya,14.1702293776945
Kamalondo,55.8115952213681
Tshamilemba,758.649633596513
Pweto,14.0827835717001
Lukafu,11.6941402116172
Mufunga Sampwe,8.99229929095176
Kilwa,17.7059456189619
Kapolowe,35.0339597237863
Panda,5.34594573342324
Kashobwe,14.0254615555324
Kampemba,15.9225291410873
Rwashi,33.01714304158
Bena Tshiadi,33.7303918107647
Yangala,29.6884406484148
Ilebo,176.843561211057
Luebo,48.8952953726774
Bena Leka,69.3507922736146
Muetshi,43.4060489855814
Tshikula,82.3696006736389
Dibaya,115.601694142802
Kalomba,77.9912645235786
Tshibala,81.1862173689661
Mushenge,22.5388131161022
Bulape,44.9170426601124
Masuika,133.651588849587
Luiza,82.6066860855206
Katoka,1987.58490174444
Ndesha,1685.38758725991
Tshikaji,276.299335109752
Bilomba,106.069661319061
Ndekesha,56.4277993548721
Bunkonde,55.1713160990513
Mikalayi,87.6293134705752
Luambo,61.2548708261223
Katende,55.0895409357872
Ndjoko-Mpunda,69.000531508809
Lubondaie,61.2597646434851
Kakenge,25.2072804471583
Rwampara,131.21527973145
Bunia,1950.59978209238
Jiba,97.751423596995
Linga,183.612652388156
Mangala,131.42689388448
Damas,49.3984642548433
Fataki,381.857984920211
Drodro,324.815947081899
Tchomia,69.3767540070121
Rethy,427.157138557157
Nyakunde,109.703838617944
Nizi,612.711924902224
Bambu,305.118773380439
Kilo,112.254891259457
Mongbalu,117.007336519138
Komanda,69.6974122384128
Gethy,84.2377475870548
Boga,67.774438043161
Nia-Nia,12.7169343875331
Mandima,145.094483138987
Lolwa,4.03617090784348
Lita,212.369560847826
Boma-Mangbetu,178.642451276387
Isiro,116.663584715967
Wamba,34.08841701493
Doruma,5.02959046356115
Pawa,175.571882140493
Niangara,19.6002615095592
Rungu,38.9733916082874
Mambasa,9.2322634296107
Rimba,471.471681616187
Logo,577.87477434902
Angumu,132.313233426084
Nyarambe,431.55106134859
Mahagi,603.947823627179
Makoro,54.7031333680676
Kambala,96.4518423104214
Biringi,75.7122021920056
Laybo,142.381668390996
Ariwara,468.636029312197
Adi,259.629429403383
Aru,358.23529637665
Adja,149.690940680511
Aungba,175.497817513354
Faradje,30.7153693530108
Gombari,13.3023905265281
Dungu,15.9966532514624
Watsa,80.6134760216411
Demba,86.8914444736375
Mutoto,78.8108341076945
Lubunga (Kasaï-Central),38.1020441212225
Kananga,4080.80013470978
Maluku II,113.343821851434
Nselo,43.2706166922098
Lomela,9.40856325121249
Nioki,36.500475864281
Bolobo,45.0819725376383
Mushie,21.5480134166949
Kwamouth,13.5337637330451
Mokala,88.1485156650697
Kisanji,23.3594141730448
Lukonga,2672.40047585665
Tunda,5.90557457716249
Bosobolo,28.6042460643056
Businga,19.0857486927656
Boto,102.808424826762
Lisala,70.1583644737872
Ndage,69.1317600951765
Mwela Lembwa,32.6006247184094
Kingabwa,12522.3495188888
Likati,12.6783075086412
Yahuma,11.6390223250141
Ikela,11.0327328466005
Lubunga (Tshopo),71.7037169413396
Ubundu,15.1461754235497
Kailo,7.84733756969842
Ototo,31.1115960036717
Tshumbe,17.1494776998916
Lusangi,33.9538112689465
Bobozo,95.1550382246192
Punia,14.1482213519038
Kyondo,486.450575509426
Mabalako,192.950670227363
Biena,121.75168457847
Masereka,189.360660587976
Lubero,153.648493550555
Manguredjipa,10.8097458749047
Mutwanga,133.829069635576
Kamango,119.11139192825
Oicha,214.184297551526
Binza,150.788257819785
Rwanguba,471.10471593581
Rutshuru,420.803457724125
Birambizo,334.066709738939
Beni,9070.46337853388
Vuhovi,324.707755654509
Musienene,83.3766868091795
Butembo,3851.79998978756
Katwa,6492.11341617941
Kayna,142.632048056759
Goma,10628.8679577227
Karisimbi,8309.40646851582
Kibua,33.9173445071706
Masisi,312.28545458827
Mweso,256.809067519607
Kirotshe,572.616585926623
Pinga,8.73127720837587
Walikale,18.7860368429691
Kibirizi,152.084548325176
Kalunguta,243.66128904943
Alimbongo,153.858585438587
Nyiragongo,164.045289088912
Katoyi,378.452106484338
Bambo,172.228564032175
Itebero,20.7864247933848
Mwana,483.845021000801
Kaziba,426.936104354381
Nyantende,1672.62354132991
Nyangezi,608.873070820597
Kabare,555.745074762699
Mubumbano,403.271039417486
Walungu,942.453157867977
Hauts-Plateaux,107.931573446965
Kaniola,66.6706246683925
Kalonge,159.08222701463
Bunyakiri,49.6261448405173
Uvira,829.547745324044
Kitutu,47.1101577330763
Kamituga,80.2409348168686
Itombwe,35.8371913642904
Minembwe,33.5253040503663
Nundu,78.2951936918431
Ruzizi,416.945832212642
Lemera,277.661564684346
Fizi,75.4369364133508
Shabunda,52.3761603343026
Lulingu,23.4899911313115
Kalole,22.5604160924152
Mwenga,52.3107987391117
Mulungu,17.7270256783282
Bagira,7546.00775269142
Kadutu,16677.9475381249
Ibanda,15710.3453492441
Katana,794.694054949688
Lualaba,139.855924768021
Kafakumba,10.0207760099968
Kanzenze,4.66471788349041
Kasaji,16.1286244325318
Dilolo,19.8896450447097
Sandoa,11.0342271489437
Kalamba,8.87372637330149
Lubudi,14.1603594584845
Bunkeya,18.4287019817043
Fungurume,112.66151322521
Kambove,78.4960243021
Lubumbashi,3934.0206439791
Kisanga,39.4036248380366
Katuba,18.6442967592918
Mumbunda,66.1750634668996
Kipushi,177.682101177552
Sakania,17.271526307412
Kafubu,20.4722405583925
Kilela Balanda,6.14073666553741
Manika,2.42595124160433
